"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-15",,,,,"18.9","H,,S",,,"13.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-16",,,,,"15.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-17",,,,,"14.2","H,,S","21.1",",,I","7.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-19",,,,,"15.4","H,,S","20.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-20",,,,,"12.6","H,,S","18.9",",,I","7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-21",,,,,"14.3","H,,S",,,"6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-22",,,,,"14.6","H,,S",,,"11.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-23",,,,,"14.3","H,,S","17.8",",,I","10.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-24",,,,,"16.1","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-25",,,,,"17.5","H,,S","23.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-26",,,,,"16.2","H,,S","20.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-27",,,,,"18.9","H,,S","22.8",",,I","16.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-28",,,,,"15.8","H,,S","20.0",",,I","12.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-29",,,,,"16.0","H,,S","21.1",",,I","11.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-03-30",,,,,"16.4","H,,S","22.2",",,I","12.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-04",,,,,"17.1","H,,S",,,"11.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-10",,,,,"17.8","H,,S","21.1",",,I","17.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-11",,,,,"17.8","H,,S","21.1",",,I","16.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-12",,,,,"17.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-17",,,,,"15.6","H,,S","18.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-20",,,,,"16.1","H,,S","21.1",",,I","10.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-24",,,,,"16.7","H,,S","21.1",",,I","12.2",",,I"
